ID,BSMBS_1u,BSMBS_2u,BSMBS_3u,BSMBS_4u,BSMBS_5u,BSMBS_6u,BSMBS_7u,BSMBS_8u,BSMBS_9u,BSMBS_10u,BSMBS_11d,BSMBS_12d,BSMBS_13d,BSMBS_14d,BSMBS_15d,BSMBS_16d,BSMBS_17d,BSMBS_18d,BSMBS_19d,BSMBS_20d,SMBS_1,SMBS_2,SMBS_3,SMBS_4,SMBS_5,SMBS_6,SMBS_7,SMBS_8,SEIS_1,SEIS_2,SEIS_3,SEIS_4,SEIS_5,AC_1,Gender,Age,Nacionality,Marital_Status,Education,Occupation,Household_Income,Household_members_1,SSS,PoliticalOrientation
73,5,6,3,5,4,4,6,4,5,5,6,6,2,6,2,2,1,2,2,5,5,1,6,1,1,2,5,5,1,6,6,1,7,5,2,30,1,1,7,5,22000,1,4,2
74,4,5,4,4,4,4,7,1,4,4,1,4,4,4,4,3,1,2,4,4,4,2,2,3,2,2,5,4,1,7,7,1,7,5,2,35,1,1,7,5,1900,1,4,1
75,2,4,1,1,1,1,5,1,2,1,3,1,2,3,3,3,2,2,3,3,6,1,5,1,1,2,6,6,2,5,5,1,5,5,2,34,1,1,7,5,2100,1,5,2
76,3,4,3,3,3,3,5,3,3,3,5,4,4,5,5,5,1,5,4,4,4,4,4,4,3,4,3,5,1,7,7,1,7,5,2,33,1,1,7,5,1800,1,5,5
77,2,5,2,2,2,3,3,3,2,2,6,5,5,3,4,3,5,3,3,2,6,2,5,2,2,2,6,6,1,7,7,1,7,5,1,28,1,2,7,5,1200,1,3,1
78,5,7,6,5,6,6,7,5,7,5,2,1,2,2,2,2,1,2,2,2,2,6,2,6,7,6,2,1,6,1,1,3,2,5,1,29,1,2,6,5,4000,2,6,4
79,3,5,5,5,5,3,6,2,5,4,3,2,3,3,3,2,2,2,2,3,5,1,5,2,3,3,6,5,1,6,6,7,7,5,1,64,1,3,6,5,4000,2,6,2
80,4,5,2,4,5,3,6,3,5,4,3,5,2,2,5,2,1,2,2,5,5,3,5,3,1,2,5,5,1,6,7,1,7,5,1,40,1,1,7,5,2600,1,6,2
81,3,3,2,2,2,2,5,2,3,5,2,3,2,2,3,2,2,2,2,2,2,2,2,5,2,4,2,2,1,1,7,1,7,5,2,50,1,3,6,5,4000,4,4,2
82,1,3,2,3,2,1,4,1,2,2,3,5,4,7,7,5,4,5,5,6,7,1,6,1,1,2,6,6,1,7,7,1,7,5,1,35,1,2,7,5,6000,2,6,1
83,6,5,5,6,5,5,6,5,6,6,2,2,2,3,2,2,2,2,4,2,1,5,1,5,5,5,1,1,1,7,7,1,7,5,2,47,1,2,6,5,5000,3,7,3
84,1,3,2,2,4,2,6,1,2,2,6,6,4,6,5,5,2,6,6,6,5,1,1,1,2,4,5,5,1,7,7,1,7,5,1,38,1,2,4,1,680,2,5,1
85,2,3,1,2,2,3,1,1,3,2,5,3,4,5,3,6,7,5,7,5,5,1,4,1,1,1,5,7,2,7,7,1,7,5,1,55,1,3,5,1,1990,3,3,2
86,4,5,4,3,2,4,7,2,3,4,4,4,2,4,5,3,1,3,3,5,3,2,6,2,1,2,7,7,1,7,6,1,7,5,1,49,1,3,4,5,42000,2,4,2
87,4,5,3,4,5,4,6,4,4,4,4,3,4,4,3,3,3,4,3,4,3,2,3,2,2,2,1,5,1,7,7,1,7,5,2,41,1,1,7,5,1400,1,6,2
88,3,5,5,5,5,6,6,3,6,5,4,4,2,2,3,2,1,2,2,2,1,6,1,6,6,5,2,1,2,7,5,1,7,5,1,55,1,3,6,5,20000,4,6,2
89,1,1,1,1,1,1,7,1,1,1,1,1,1,4,5,4,1,4,3,1,1,7,1,7,7,4,1,1,1,7,7,1,7,5,2,41,1,1,7,5,2000,1,7,2
90,2,6,2,3,4,6,5,3,5,3,6,3,3,4,3,2,3,3,5,6,2,4,2,3,2,4,2,2,3,6,6,2,6,5,1,58,1,3,4,5,3000,2,6,2
91,5,5,5,5,5,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,5,2,2,5,5,2,3,5,3,5,3,6,5,1,29,1,2,7,5,3500,2,7,3
92,4,6,4,4,5,6,3,4,6,4,4,1,3,3,2,3,4,4,2,3,3,2,2,5,5,4,2,3,2,7,7,2,6,5,1,28,1,2,7,5,39000,2,7,4
93,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,5,3,6,5,5,3,5,1,7,7,1,7,5,1,51,1,3,6,5,45000,2,6,6
94,5,5,6,5,5,6,6,5,5,4,1,1,1,1,2,1,1,3,1,1,2,5,2,5,5,5,2,2,6,2,3,6,2,5,1,52,1,2,7,5,4500,1,8,5
95,4,5,4,4,5,5,5,4,5,4,4,3,4,4,3,3,3,4,3,4,3,5,3,4,2,2,3,4,1,6,6,1,7,5,1,46,1,3,6,5,2800,4,6,2
96,2,1,1,2,4,1,5,1,4,2,4,4,4,3,4,4,4,4,4,4,5,1,1,2,2,2,6,7,1,7,7,1,7,5,1,43,1,2,7,5,4600,4,7,1
97,3,3,3,3,3,4,3,3,3,3,5,5,4,4,4,5,5,4,4,4,4,2,2,3,2,3,1,5,1,7,6,1,6,5,1,52,1,2,6,5,1800,1,4,2
98,5,4,4,4,5,4,5,2,3,6,3,3,3,2,4,2,5,3,3,3,1,5,2,5,6,4,2,1,1,7,7,1,7,5,2,48,1,3,7,5,5000,3,8,2
99,5,5,5,6,6,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,1,6,1,7,7,6,1,1,1,2,2,1,7,5,2,49,1,3,7,5,7500,5,8,2
100,5,4,3,4,2,4,7,3,4,4,2,3,2,3,4,2,1,2,3,3,2,3,3,3,3,4,3,5,1,7,6,1,7,5,1,38,1,2,6,5,3200,2,6,2
101,3,4,3,3,4,3,5,3,4,3,6,4,5,5,4,4,3,4,5,5,3,2,3,3,2,4,4,5,1,7,7,1,7,5,1,43,1,1,7,5,NA,NA,5,2
102,2,2,3,4,1,1,3,4,3,3,5,6,3,5,7,4,2,4,4,7,3,2,1,1,4,4,4,4,1,7,7,1,7,5,2,45,1,3,6,5,2500,2,6,2
103,1,1,2,3,1,1,2,1,3,3,5,6,5,6,5,5,4,4,5,7,5,1,1,1,1,1,5,7,1,7,7,1,7,5,1,33,1,1,6,1,2400,2,8,1
104,5,5,5,4,4,3,6,3,5,5,4,2,3,2,3,3,1,3,5,3,3,3,3,2,5,5,3,6,1,1,1,1,7,5,1,36,1,2,6,5,2100,2,6,3
105,5,6,5,5,4,4,6,4,5,5,4,2,2,3,2,4,1,2,2,2,3,3,4,5,4,5,4,4,3,6,4,2,6,5,1,31,1,1,6,5,24000,1,7,2
106,6,5,6,6,5,4,6,3,6,5,6,2,2,4,2,2,2,3,2,3,2,3,3,5,5,4,2,5,4,5,2,5,3,5,1,35,1,2,4,5,1000,2,4,4
107,5,4,2,5,4,1,4,3,3,5,3,3,2,2,3,4,2,2,2,3,4,2,3,3,2,2,4,5,1,6,6,1,7,5,2,46,1,2,6,5,60000,2,8,2
108,3,4,4,3,4,3,7,3,4,3,5,4,4,5,4,3,1,5,3,6,3,2,2,4,2,4,2,5,1,7,7,1,7,5,2,67,1,2,7,6,2500,2,7,2
109,2,5,2,3,2,3,6,4,2,3,5,3,5,4,7,5,2,4,6,5,4,2,4,2,2,5,7,5,2,6,7,1,7,5,1,47,1,2,7,5,2200,3,4,1
110,2,2,2,3,1,2,5,3,1,2,4,4,4,3,3,4,1,5,4,4,6,2,5,2,1,2,6,6,1,7,7,1,7,5,1,42,1,1,2,5,1300,1,3,2
111,1,4,4,3,3,2,6,3,5,4,5,6,3,4,5,2,1,4,3,6,2,1,6,3,2,4,5,6,3,6,6,1,7,1,1,31,1,1,5,5,1100,1,4,1
