model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
cor.test1,NA,-0.03231975126212661,NA,-0.49040949595034483,0.6243116711808052,NA,NA,NA,NA,230,-0.16045051096175367,0.09688221796322945,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.24160673083946532,NA,-3.7760147570268865,2.0291461527948844e-4,NA,NA,NA,NA,230,-0.3592267610775029,-0.11643123739037492,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.3769102984715645,NA,6.171259535633724,3.0281431065754225e-9,NA,NA,NA,NA,230,0.2607708902191563,0.4822956654424576,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.12698880299826729,NA,1.9415994486445403,0.05340697916139593,NA,NA,NA,NA,230,-0.0018399650864564141,0.2516711460384972,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.41269773902964346,NA,6.87132588412987,5.902565048441306e-11,NA,NA,NA,NA,230,0.29983687068841125,0.5141659614004916,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.10174602983309025,NA,1.5511045439460935,0.12225152319906679,NA,NA,NA,NA,230,-0.02741186960151096,0.22756255227175184,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.0454097124465504,NA,-0.6893835225352983,0.4912768536337816,NA,NA,NA,NA,230,-0.17319541619219966,0.0838795484037878,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.010929955937900273,NA,0.16577089108951273,0.8684828759179347,NA,NA,NA,NA,230,-0.11803488293598975,0.13953220118755663,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.19797719091760838,NA,3.063101876553672,0.0024516060702883258,NA,NA,NA,NA,230,0.07098867158851216,0.31865053105871033,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.05900524701734676,NA,0.8964207358020608,0.37096537378290206,NA,NA,NA,NA,230,-0.0703279044541432,0.18638741403944,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.15688052788666043,NA,-2.4090407402856067,0.01678183032059965,NA,NA,NA,NA,230,-0.2800210941974298,-0.0286609780866866,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.14219136208539546,NA,-2.178574867188753,0.030379331947749826,NA,NA,NA,NA,230,-0.26611636495487934,-0.013642538706696464,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.18532320373223604,NA,-2.8601094363596773,0.004624539345970315,NA,NA,NA,NA,230,-0.30679877983838616,-0.057906727955208584,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.055545309611752844,NA,0.8436888427615769,0.39971991507339766,NA,NA,NA,NA,230,-0.07378120674423728,0.1830345245692194,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.10042565221747266,NA,-1.530769127395401,0.1272006806342898,NA,NA,NA,NA,230,-0.22629724101036322,0.02874482686555079,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.2520200112549709,NA,3.9495563998846492,1.0413661643693673e-4,NA,NA,NA,NA,230,0.12735526970226316,0.36884600152353236,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.1807010476283978,NA,-2.786335539475424,0.005775729914441239,NA,NA,NA,NA,230,-0.30246024481225986,-0.05313913720892973,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.1203134657354362,NA,-1.8379953365752455,0.06735282501868185,NA,NA,NA,NA,230,-0.245310751274461,0.008618766151507135,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.06214714393964109,NA,0.9443335019419892,0.3459901894361549,NA,NA,NA,NA,230,-0.06718934477067348,0.18942953460308484,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.015189375026858043,NA,-0.23038485620094687,0.817997510783401,NA,NA,NA,NA,230,-0.1437069045902288,0.11383199626541059,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.012923743545567388,NA,-0.17243864605992526,0.8632885988891231,NA,NA,NA,NA,178,-0.15888672177364382,0.13359209850472054,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.06675235814787318,NA,-1.0146126533663027,0.3113566386687996,NA,NA,NA,NA,230,-0.19388409097718928,0.06258439200688098,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.17834043303774574,NA,-2.7487319254654112,0.00645752768702707,NA,NA,NA,NA,230,-0.3002425323333698,-0.05070648800132414,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.09571822485949825,NA,1.4583347419140817,0.14611247507135455,NA,NA,NA,NA,230,-0.03349336775449795,0.22178267728209455,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.12600967909932911,NA,1.9263866071189477,0.05528853885336842,NA,NA,NA,NA,230,-0.0028350063474525773,0.2507388907435592,Pearson's product-moment correlation,two.sided
