model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,-0.41648482984044716,-5.830753141623579,2.907251530080684e-8,162,-0.5355524140847822,-0.2811817169351728,Pearson's product-moment correlation,two.sided
cor.test1,-0.06533675183667235,-0.8333817956488805,0.4058564770014056,162,-0.21641966274870655,0.08880230079320592,Pearson's product-moment correlation,two.sided
cor.test1,-0.2680707145464791,-3.5416087398536797,5.195623895741291e-4,162,-0.40469500108781764,-0.11973995996821367,Pearson's product-moment correlation,two.sided
cor.test1,-0.25602409051025327,-3.371009048056871,9.36441781132013e-4,162,-0.393822107410651,-0.10697129157414423,Pearson's product-moment correlation,two.sided
cor.test1,-0.2625474100053231,-3.4631742635988134,6.830072801288778e-4,162,-0.3997146357322678,-0.11387950449687548,Pearson's product-moment correlation,two.sided
cor.test1,0.4601542446208644,6.59669988752997,5.680574546280812e-10,162,0.33018880389395217,0.5729971817080084,Pearson's product-moment correlation,two.sided
cor.test1,0.5240769658698543,7.8321458686130585,5.948609216544908e-13,162,0.4032108506105327,0.6269717809489126,Pearson's product-moment correlation,two.sided
cor.test1,0.35468306232453184,4.8282814078118905,3.1648717449021163e-6,162,0.21301144042106226,0.48174749824622654,Pearson's product-moment correlation,two.sided
cor.test1,0.576911535190632,8.989747062336413,6.216782334795326e-16,162,0.4647510432295482,0.6708504435465454,Pearson's product-moment correlation,two.sided
cor.test1,0.5804569111581072,9.072936641205336,3.749509840169189e-16,162,0.46891975966175253,0.6737714861488766,Pearson's product-moment correlation,two.sided
cor.test1,0.5880417646343911,9.253544650766244,1.2449533509953852e-16,162,0.4778548847901713,0.6800108845513017,Pearson's product-moment correlation,two.sided
cor.test1,-0.31015641899600166,-4.15242113419388,5.306788966999992e-5,162,-0.44237938004328636,-0.16473670261977752,Pearson's product-moment correlation,two.sided
cor.test1,-0.22781705701586194,-2.977945951982409,0.003347899285445293,162,-0.3682115966712192,-0.07726470644916898,Pearson's product-moment correlation,two.sided
cor.test1,-0.2821478336255585,-3.743239958063458,2.5194953951697196e-4,162,-0.41735179606181555,-0.13472326089761952,Pearson's product-moment correlation,two.sided
cor.test1,-0.35395902649169364,-4.817011762824604,3.3251541158015744e-6,162,-0.4811114198993373,-0.21222088621142707,Pearson's product-moment correlation,two.sided
cor.test1,-0.2528063567637358,-3.32572962341328,0.0010909542896330585,162,-0.39091134453782816,-0.10356899478943454,Pearson's product-moment correlation,two.sided
cor.test1,-0.37614765529607447,-5.167047371490174,6.915686371758605e-7,162,-0.500543897923234,-0.23653259006459462,Pearson's product-moment correlation,two.sided
cor.test1,-0.07210700470686966,-0.9201676225989878,0.35885333330221225,162,-0.22289382938526536,0.08204956352303652,Pearson's product-moment correlation,two.sided
cor.test1,-0.4008737147261107,-5.569374316401165,1.0421451247381784e-7,162,-0.5220519414868052,-0.26383204503998603,Pearson's product-moment correlation,two.sided
cor.test1,-0.22728320092008694,-2.970586975378872,0.003424851568783816,162,-0.36772482018606073,-0.07670503508261009,Pearson's product-moment correlation,two.sided
cor.test1,-0.3726934972649085,-5.111903415121423,8.899642807010698e-7,162,-0.497527012591136,-0.2327364035738338,Pearson's product-moment correlation,two.sided
cor.test1,0.6322189917339748,10.385829343972816,1.095316095350381e-19,162,0.5303537465304771,0.7160888308157132,Pearson's product-moment correlation,two.sided
cor.test1,0.2352842482490886,3.0811787261494556,0.002423325875527268,162,0.08510294070238085,0.3750122145387854,Pearson's product-moment correlation,two.sided
cor.test1,0.5218792602247927,7.786972745297946,7.717411808761076e-13,162,0.4006744915283395,0.6251323519740399,Pearson's product-moment correlation,two.sided
cor.test1,0.5782860746306466,9.02190829544334,5.113816560063767e-16,162,0.4663666613066224,0.6719832755230188,Pearson's product-moment correlation,two.sided
